logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
rua setubal;812;apto 1301 edf principe de dover;1430000,00;Boa Viagem;Recife;PE;1992;968,51;337,8;0,0625;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-29;Bom;Apartamento;0,00;55093;-8.137795;-34.903288;2025
rua setubal;812;apto 1301 edf principe de dover;1430000,00;Boa Viagem;Recife;PE;1992;968,51;337,8;0,0625;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-29;Bom;Apartamento;0,00;55093;-8.137795;-34.903288;2025
rua setubal;860;apto 0101 sierra de gredos - bloco b;670000,00;Boa Viagem;Recife;PE;1981;4122,37;224,4;0,00966;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-17;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
rua setubal;860;apto 0202 sierra nevada - bloco a;790000,00;Boa Viagem;Recife;PE;1981;4122,37;224,4;0,00966;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-29;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
rua setubal;860;apto 1103 sierra de gredos - bloco b;580000,00;Boa Viagem;Recife;PE;1981;4122,37;158,4;0,00689;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-07;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
rua setubal;860;apto 0604 sierra nevada - bloco a;530000,00;Boa Viagem;Recife;PE;1981;4122,37;158,4;0,00681;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-03;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
rua setubal;860;apto 0401 sierra de gredos - bloco b;755000,00;Boa Viagem;Recife;PE;1981;4122,37;224,4;0,00966;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-25;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
rua setubal;860;apto 0504 sierra de gredos - bloco b;585000,00;Boa Viagem;Recife;PE;1981;4122,37;158,4;0,00681;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-12-02;Bom;Apartamento;0,00;55093;-8.13826;-34.903443;2025
av boa viagem;5526;apto 0102 edf maria alice - bloco a;2416000,00;Boa Viagem;Recife;PE;2003;3649,16;257,57;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-08;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5526;apto 0401 edf maria beatriz - bloco b;2850000,00;Boa Viagem;Recife;PE;2004;3649,16;257,58;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-03;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5526;apto 0301 edf maria alice - bloco a;2000000,00;Boa Viagem;Recife;PE;2003;3649,16;257,57;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-07;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5526;apto 0601 edf maria alice - bloco a;2600000,00;Boa Viagem;Recife;PE;2003;3649,16;257,57;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-26;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5526;apto 1402 edf maria alice - bloco a;2500000,00;Boa Viagem;Recife;PE;2003;3649,16;257,57;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-14;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5526;apto 1402 edf maria alice - bloco a;2500000,00;Boa Viagem;Recife;PE;2003;3649,16;257,57;0,01136;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-13;Bom;Apartamento;0,00;11720;-8.137216;-34.90238;2025
av boa viagem;5554;apto 0401 edf sobrado da praia;1380000,00;Boa Viagem;Recife;PE;1983;997,5;290,32;0,04864;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-21;Bom;Apartamento;0,00;11720;-8.137515;-34.902477;2025
av boa viagem;5554;apto 0403 edf sobrado da praia;682162,51;Boa Viagem;Recife;PE;1983;997,5;180,61;0,03051;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-03;Bom;Apartamento;0,00;11720;-8.137515;-34.902477;2025
